$,00000
$,00100
$,01110
$,10101
$,10101
$,10100
$,01110
$,00101
$,00101
$,10101
$,01110
$,00100
$,00000
$,00000
(,000
(,001
(,010
(,010
(,100
(,100
(,100
(,100
(,100
(,100
(,100
(,010
(,010
(,001
",",00
",",00
",",00
",",00
",",00
",",00
",",00
",",00
",",00
",",00
",",01
",",10
",",00
",",00
0,00000
0,01110
0,10001
0,10001
0,10001
0,10001
0,10001
0,10001
0,10001
0,10001
0,01110
0,00000
0,00000
0,00000
4,00000
4,00001
4,00011
4,00101
4,00101
4,01001
4,10001
4,11111
4,00001
4,00001
4,00001
4,00000
4,00000
4,00000
8,00000
8,01110
8,10001
8,10001
8,10001
8,01110
8,10001
8,10001
8,10001
8,10001
8,01110
8,00000
8,00000
8,00000
<,00000
<,00000
<,00000
<,00011
<,00110
<,01100
<,11000
<,01100
<,00110
<,00011
<,00000
<,00000
<,00000
<,00000
@,000011110000
@,001100001100
@,010000000010
@,010000000010
@,100001111001
@,100010001001
@,100010001001
@,100010010001
@,010001101110
@,010000000000
@,001100000110
@,000011111000
@,000000000000
@,000000000000
D,00000000
D,11111100
D,10000010
D,10000001
D,10000001
D,10000001
D,10000001
D,10000001
D,10000001
D,10000010
D,11111100
D,00000000
D,00000000
D,00000000
H,00000000
H,10000001
H,10000001
H,10000001
H,10000001
H,11111111
H,10000001
H,10000001
H,10000001
H,10000001
H,10000001
H,00000000
H,00000000
H,00000000
L,000000
L,100000
L,100000
L,100000
L,100000
L,100000
L,100000
L,100000
L,100000
L,100000
L,111111
L,000000
L,000000
L,000000
P,00000000
P,11111100
P,10000010
P,10000001
P,10000001
P,10000010
P,11111100
P,10000000
P,10000000
P,10000000
P,10000000
P,00000000
P,00000000
P,00000000
T,000000000
T,111111111
T,000010000
T,000010000
T,000010000
T,000010000
T,000010000
T,000010000
T,000010000
T,000010000
T,000010000
T,000000000
T,000000000
T,000000000
X,00000000
X,10000001
X,10000001
X,01000010
X,00100100
X,00011000
X,00011000
X,00100100
X,01000010
X,10000001
X,10000001
X,00000000
X,00000000
X,00000000
`,00
`,10
`,01
`,00
`,00
`,00
`,00
`,00
`,00
`,00
`,00
`,00
`,00
`,00
d,000000
d,000001
d,000001
d,000001
d,011101
d,100011
d,100001
d,100001
d,100001
d,100011
d,011101
d,000000
d,000000
d,000000
h,00000
h,10000
h,10000
h,10000
h,10110
h,11001
h,10001
h,10001
h,10001
h,10001
h,10001
h,00000
h,00000
h,00000
l,0
l,1
l,1
l,1
l,1
l,1
l,1
